stimppt,aqGroup,age,sex,aqScore,faceMasc,zfaceMasc,Rater3,Rater4,Rater5,Rater7,Rater8,Rater9,Rater11,Rater12,Rater13,Rater14,Rater15,Rater16,Rater17,Rater18,Rater19,Rater20,Rater21,Rater22,Rater23,Rater24,Rater25,Rater26,Rater27,Rater28,Rater29,Rater30,Rater31,Rater32,Rater33,Rater34,Rater35,Rater36,Rater37,Rater38,Rater39,Rater40,Rater41,Rater43,Rater44,Rater45,Rater47,aveRating
1006,1,20,2,10,-74.23748409,-0.40553487,7.1,6.1,6.4,6.7,3.8,7.8,8,6.5,7.3,7.8,7.4,6.1,7.4,8.4,6.6,6,8.2,5.8,6.3,6.2,8.1,6.5,6,6.5,7.1,6,6,5.4,6.5,6.4,8,5.5,6.1,8.2,6.4,5.7,3.3,5.8,4.6,6,3.7,6.431707317
1007,2,19,2,18,-224.1482774,-1.223037948,6,0.2,3,6.4,6.4,7.2,5.6,3,5.8,6.1,7.4,5.8,7.3,5.8,5.3,3.6,4.1,7,6.7,6.9,4.6,6.1,5,6,6.1,2.4,6.6,6,7,5.6,7.1,3,4.1,6.6,6.5,4.8,3.3,4.1,5.6,5.5,5.6,5.395121951
1009,1,18,2,8,-86.37119072,-0.471703171,5.6,2.9,4.2,4.2,4.4,2.1,4.3,4.6,1.8,4.3,4.3,4.4,3,5.7,4.5,3.4,4.7,4,0.9,0.6,6.7,5.3,4.2,4.5,3.7,3.7,3.5,2.1,3,4.5,4.3,5.8,3.2,0,3.1,2,2.9,2.6,4.8,2,4.2,3.658536585
1010,3,18,2,24,-292.0786899,-1.593480396,3.7,5.8,1.9,6.5,4.3,4.4,7.4,5.4,7,4.7,1.4,4.4,4.2,6.2,4.8,2.8,3.8,5.9,1.5,4.1,5.8,6.8,4.8,4,4.1,3.5,5.1,4.6,3.5,5.7,7.8,2.4,4.7,9,3.8,6.3,5,2.2,5.6,6,4.3,4.76097561
1015,1,19,2,8,72.8298769,0.396462222,0,1.7,2.1,0.9,4.1,0,3.1,1.1,1.6,1.4,0.1,4.8,2,4.2,3.3,1.6,0,4.1,1.6,0.5,2.9,1.7,1,3.5,3.5,0.5,6.1,3.4,1.5,0,0.4,0.5,1.5,0.6,3,0.2,1.6,2.8,2,2.5,1.4,1.92195122
1017,2,18,2,17,-96.61023565,-0.527539382,6.1,5.4,9.3,7.6,7.7,8.9,6.8,6.4,8.9,9.8,5,7.8,7.7,8,6.4,6.6,4.6,6.9,8.3,7.9,7.9,9.2,7,8,7,6.5,5.9,7,9,8.5,7.1,8.3,7.3,9,7.5,7.5,6.6,8.3,6.7,6,8.5,7.436585366
1018,2,18,2,17,-13.66340797,-0.075208463,6.2,0.2,0.8,5.6,4.5,3,6.6,4,5.8,6.5,3.3,5.3,7,6.4,4.9,3.4,7.2,6,2.4,4.2,5.6,6.9,4.7,5.5,5,4.4,3.8,4,5.5,6,4.4,4.5,6.9,1,5.6,5,4.1,3.5,5.2,5.5,4.5,4.753658537
1023,2,18,2,16,-205.0396109,-1.118833352,8.1,6.5,8.6,7.6,7.3,9.3,7.7,8.5,8.4,8.6,5.7,7.7,7.8,8.9,7,7.5,8.1,8.7,8.6,9.1,6,9.4,8.9,8,6.8,7.2,6.1,6.1,9,6.7,10,5,8.1,10,8.4,6.6,7.2,7.6,6,6.5,6.9,7.712195122
1024,3,19,2,22,-43.60982206,-0.238514154,1.5,1.3,4,1.5,3.6,3.7,3.4,4.5,1.3,2,3.7,5.6,2.6,0.5,4,1.8,4.4,4.4,6.3,3.6,6,5,5.3,4.5,3.3,1.9,4,3.5,4.5,2.4,0,2.5,3.1,1.8,1.5,0.8,3.2,0.8,4.9,0,0.7,3.009756098
2003,1,21,2,10,-174.238336,-0.950865879,6.3,4.2,5.7,6.9,7.4,5.7,6.8,4.4,5.8,5.8,6.9,6.1,5.2,7.9,5.4,4.1,4.4,5.4,8.5,3.4,7.3,5.9,5.1,4.5,5,6.5,3.9,9,3,5.5,8.6,6.6,7.6,6,3.7,5,8.9,6.5,7.1,2,5.1,5.831707317
2004,1,18,2,10,-456.8420648,-2.491978517,0.7,2.4,3.5,2.7,4.7,2.4,5.6,5.5,2.3,6.7,7,4.7,6.4,5.6,5.9,5.6,5.6,6.1,7,5.6,7.5,7.8,2.5,6,4.5,4,6,4.8,3.5,5,4,2.6,5.6,6.1,4,2.8,2.5,5.6,3.9,5.1,2.8,4.697560976
2006,1,18,2,10,-201.3039075,-1.098461576,6.3,5.3,5.8,0.6,2.8,3.6,7.3,1.2,6.3,5.1,6.7,6.5,4,5.7,5.3,3.8,5.9,6.3,7.3,6.1,3.3,3.5,5.4,6,4.2,4,5.5,6.1,3.5,5,7.2,5.7,5,2.2,1.4,5,7.8,6.6,6.9,6,4,5.029268293
2007,1,19,2,9,-130.5219618,-0.712468965,6.1,4.3,6.6,4.2,6.6,6.1,8.3,4.7,6.5,4,6.9,6.6,3.8,6.8,5.7,4.2,6.2,7,6.1,6.1,4.1,6.4,7.8,8,6.5,5.5,6.1,5.8,3.5,6.2,7.7,7.5,6.1,3.3,7.5,6.2,7.6,8.1,6.9,6.5,3,6.026829268
2008,3,18,2,43,-5.477037544,-0.030566027,0.7,1,1.5,4.7,3.4,1.7,5.8,4.4,4.4,5.1,8.7,6.1,4.2,7,4.1,6.1,2.5,4.8,3.8,4,4.7,4.6,5.2,4.5,3.5,3.5,4,3.9,3,1.3,4.8,3.9,2.9,4,1.1,1.9,3.5,4,4.1,5.1,6.9,4.009756098
2010,1,18,2,7,-282.4166125,-1.540790541,5.6,3.4,3.7,7.2,7.4,6.2,6.4,2.4,5.6,5.2,7.6,7.4,5.7,7.3,5.2,6.9,5.8,6.9,7.5,4.1,6.5,8.2,6,5,6.1,8.5,5.6,6.1,4.5,5,6,6.5,8.5,5.6,7.3,5,7,6.2,5.8,5.8,4.3,6.024390244
2011,1,18,2,8,1.06229904,0.0050947,6.9,6.6,4.2,5.7,7.9,6.8,6.5,6.4,6.5,7.9,8.7,6.6,6,7.9,6,8.1,9.2,6,5.9,5.9,6.7,7,5.9,7.5,6.1,4.6,5.9,6.1,6,7,6.4,6.6,8.1,8.7,8,6.3,7.8,7.5,4.5,6,6.9,6.714634146
2012,3,20,2,30,-146.6936351,-0.800657363,2.6,5.8,6.6,6.4,4.3,1.3,2.7,5.7,3.5,5.2,1,6.6,6.8,6.5,5.4,5.9,4.5,4.5,1.8,5.8,4.6,6.6,5.8,5.5,4.1,5.5,5.5,3.5,4.5,1.5,6.7,4,2,4.4,3.9,3.3,1.8,3.8,6.6,5.1,4,4.526829268
2016,2,18,2,17,-105.7129608,-0.577178942,0,2.3,1.3,3.8,2.1,0.7,3.5,2.1,3.3,0.8,0.1,3,2.6,6.2,3.1,2.6,2,2.9,1.4,2.2,1.1,0.6,3.9,3.5,3.3,1.5,6,0.8,1.5,0.2,3.8,0,5.9,2.3,2.2,1.8,0.4,2.7,2.7,5,0.6,2.336585366
2018,3,18,2,28,-215.394527,-1.175301439,8.5,2.1,5.5,6.7,4,3.2,3.7,4.2,6.4,2.8,3.8,4,7,7.4,4.8,3.4,7.1,5.6,5.3,4.7,5.7,6.7,4.9,6,5.7,3.5,6.4,4.3,6.5,5,7.4,1.9,3.9,1.9,2.5,2.1,9.7,5.8,5,5.5,3.5,4.97804878
2020,3,19,2,31,-47.64982985,-0.260545382,3.5,3.8,1,4.5,4.8,1.5,6.5,6.2,5.8,4.6,5.9,6.1,4.3,7.5,4.8,7.6,7.3,6.8,1.3,3.8,3.7,2.6,6.5,4.5,4,2.5,6.1,3.6,4.5,2.7,7.8,6,4,5.2,6.2,3.9,1.3,5.5,4.5,3,6.3,4.682926829
2023,2,18,2,17,-127.6009072,-0.696539685,0.6,2,2.5,2.5,3.8,7,4.6,3.7,2.8,4.8,7.2,6.4,4,3,5.1,5.6,0,3.3,1.1,5.5,5.5,3.2,4.5,5,4,2.9,3.5,3.9,5.5,5,2,2.2,2.8,1.4,6.3,2.6,0.1,3.3,0.1,4.5,1.6,3.546341463
2024,1,24,2,10,-332.0179276,-1.811279589,7.7,7.9,7.7,6.9,7.2,8.9,7.4,7.4,9.2,8.9,9.5,6.4,7.2,9.2,5.8,6.6,7.9,6.7,6.7,7.7,7.7,7.1,6.1,8,6.5,6.1,5,5.7,6,7.8,3.7,9,9,8.8,8.9,7.1,8.4,8.1,6,6,7.4,7.348780488
2025,1,18,2,8,-159.9598747,-0.873001665,4.4,3.4,6.5,2.6,4.7,9,7.8,4.5,6.4,3.6,6.8,5.3,4.3,7.6,6.2,6.1,8.3,7.1,3.1,6.9,6.4,6.1,6.1,5.5,5.5,4.7,4,5.5,4.5,2.5,4.1,3.5,4.7,7,6.7,3.9,5.3,6.5,4.4,5,4.2,5.382926829
