stimppt,aqGroup,age,sex,aqScore,faceMasc,zfaceMasc,Rater3,Rater4,Rater5,Rater7,Rater8,Rater9,Rater11,Rater12,Rater13,Rater14,Rater15,Rater16,Rater17,Rater18,Rater19,Rater20,Rater21,Rater22,Rater23,Rater24,Rater25,Rater26,Rater27,Rater28,Rater29,Rater30,Rater31,Rater32,Rater33,Rater34,Rater35,Rater36,Rater37,Rater38,Rater39,Rater40,Rater41,Rater43,Rater44,Rater45,Rater47,aveRating
1002,2,18,1,16,219.5231127,1.196419111,3.5,2.1,4.1,4.6,4.7,0.9,5.8,6.1,4.4,2,4.6,5.4,6,8.1,5.5,7.4,5.2,4.3,6.2,6.4,3.4,6.4,4.6,5.5,6.6,3.4,5.8,4.5,6,4,6.9,8.1,5.4,2.2,6.8,8.9,6,4.6,4.5,6,6.4,5.202439024
1003,1,18,1,10,179.2918788,0.977027586,7.8,8.2,6,6.8,6.7,8.3,8.5,6.9,10,4.4,10,6.4,6.1,10,4.8,6.1,5.8,4.7,8.2,7.3,7.9,8.5,5.5,7,7.7,7.7,4.5,7.2,8.5,7.4,8.2,8.2,8.3,9.7,8.9,10,6.9,7.4,6.2,5.5,6.8,7.341463415
1005,1,18,1,11,75.73640489,0.412312286,4,2.8,1.3,4.4,4.4,5.5,5.4,4,6.4,5.2,6.5,5.5,3.3,6.8,4.7,3,7.4,3.8,2.3,1.5,3.9,5.6,5.4,4,6.2,5.6,6.6,3.8,3,1.3,0.4,4,5,0,3,5.8,3.9,7.5,2.7,4.5,4.3,4.26097561
1008,3,20,1,24,311.7054008,1.699113431,6.1,7.6,4,5.6,5.7,8.1,6.8,4.4,7.6,6,5,5.9,4,8.7,4.7,6.9,5.3,4.7,6.8,3.6,4.5,7.7,4.8,7.5,7,6.3,5.7,6.3,3.5,3.3,4.4,8.4,5.5,10,6,8.8,6.8,7.2,6.6,6,7.3,6.124390244
1011,1,19,1,10,2.467356265,0.012756847,6,4.6,3.8,5.4,6,7,6.1,6.4,5.7,7.8,5.7,6.9,5.6,7.1,5.2,6.7,5.4,6.6,5.8,5.4,5.8,4.7,6,6,6.8,5.6,6.4,5.5,7,6.9,5.8,5.7,3.9,3.7,6.1,8.5,5.3,5.9,3.9,6,6.1,5.873170732
1012,3,21,1,24,78.04570231,0.424905493,7,8.6,7.6,7,4.8,9,8.3,7,10,7.1,8.4,5.8,7.7,9.2,6.3,8.3,8.9,7.2,8.8,8.4,7.4,8.8,5.6,9,8,7.5,5.9,6.5,5.7,8.3,8.9,8.4,8.1,5.8,8.3,7.2,9.5,9.2,8.2,6,8,7.7
1013,3,20,1,25,41.12181216,0.223549786,4.1,2,3.3,1.7,3.9,1.5,3.2,4.7,4.4,4.1,3.5,4.2,5.8,6.7,4,6.5,5.8,4.7,5.9,3.6,3.4,0.9,4.6,7,5.5,5.3,6.3,4.6,5.5,2.6,2.7,6.2,2.3,3.3,5.7,4.2,4,3.9,6.5,3.5,6.6,4.346341463
1014,3,18,1,24,98.59630062,0.536973324,8.1,10,3.8,6,7,9,8.4,7.8,9,7.3,10,6.6,6.1,9.2,3.8,8.8,5.9,8.1,4.5,5.6,7.3,8.9,7.7,8,8.5,7.5,9.4,8.6,7,7.9,3.3,6.2,9.4,10,8.4,9.2,8.9,8,7.3,5,8.3,7.556097561
1019,3,19,1,32,91.67469297,0.499227972,3,9.4,5.6,5.5,4.5,1.1,3.6,6.1,6.6,2.2,3.8,4.4,3.1,6.5,4.7,3.8,2.8,5.4,4.6,6.4,3.2,5,2.5,6.5,7,4.7,4.8,5.7,6.5,2.7,2.6,4.3,2.9,3.6,4.1,6.3,4.1,5.6,6.2,4,2.4,4.580487805
1025,2,18,1,16,138.2448362,0.753187241,7.1,5.9,6.9,2.1,5.2,1.5,4.4,3.2,3.9,5.5,7.6,4.1,3.4,7.4,5.6,6.2,2.2,6.8,3.4,3.2,2.6,6.3,4.3,8,5.5,3.2,7.1,4.4,4,4,7.9,7,1.4,7.4,5.7,3.9,1.3,3.3,2.8,5.5,3,4.736585366
1026,3,20,1,29,272.7920487,1.486908663,6.8,8.9,7.9,7.5,8.9,6.8,7.6,7.7,9.7,6.4,8.6,7.3,7.7,10,5.4,7.3,7.2,4.1,9,9.1,7.8,8.5,6.1,7,7.9,7.3,6.1,6.4,8,4.6,7.1,9,8.3,10,7,10,6.2,7.8,7.4,6.5,5.8,7.529268293
2001,3,18,1,26,-5.234727303,-0.029244645,3.6,3.7,4.3,3.7,3.3,3.8,5.3,4.7,4,2.1,7,6.7,4.7,7.4,4,2.5,5.1,5.6,3.6,5.5,2.8,7.3,4.8,6.5,7,3.5,6.2,3.3,4,3.5,7.3,6.6,6.7,4,6,6.4,2.4,4,5.2,3,3.7,4.751219512
2002,2,18,1,17,66.7506973,0.363310853,8.9,7.8,8.3,7.8,7.4,8.7,7.5,7.6,8.6,7.5,10,6.7,6.9,9.1,6.4,6.7,4.9,6.2,5.6,6,4.1,9.6,5.8,7,7.7,6.9,4.2,7.7,7,6,7.4,8.9,8.3,1.1,7.9,9,7.3,8.7,5.9,7,7.8,7.168292683
2009,1,18,1,10,54.78505911,0.298059074,6.9,4.3,4.3,4.6,3.8,8.1,6.9,4.3,4.2,5.1,3.7,6.9,4,7.2,5.6,4.2,4.5,4.4,2.3,3.8,6,6.8,6,6,6.4,6.1,6.3,3.7,5.5,3.5,4,5.8,4.4,1.2,5.7,3.5,3.7,7.9,5.9,5.5,3.9,5.046341463
2013,3,23,1,36,-87.79150733,-0.479448532,8,10,8.1,8.2,7.5,7.9,8.7,7.5,8.6,7.5,7.3,7.6,7.3,10,5.5,6.3,2.5,5.3,8.5,9.4,9.3,8.7,5.7,7.5,7.9,7,8.6,7.1,9,6.2,10,8.8,9.3,9.3,6.2,9.7,8.1,8.4,4.9,6,5.2,7.673170732
2014,2,20,1,16,131.7658932,0.717855857,9.2,9.2,3.1,8.1,3.8,6.3,8.9,7.8,7.2,8.8,7.2,7.6,6.3,9.3,5.3,7.1,5.8,7.1,7.2,8.8,7,5,8,4.5,8.6,7.5,10,6.5,3.5,6.7,7.7,6,5.4,6.1,8.6,7.2,8.8,6.7,9.3,6.5,8.9,7.136585366
2015,2,19,1,17,288.559971,1.5728953,7.5,8.4,6,7.2,6.9,5.8,4.6,5.5,7.2,8.1,6.8,6.4,6.7,9.1,5.2,6.4,5.4,4.6,8.3,6.7,6.8,5.7,4.9,6.5,7.7,5.8,6,5.3,7,6.2,6.2,8.4,6.2,4.6,6.3,8.4,5,6.1,5.7,6,5.4,6.414634146
2017,2,19,1,17,-27.96458097,-0.15319653,6.4,5.6,4.6,6.5,5.6,5.8,6.2,5.8,7,5.5,6.5,4.4,4,8.8,6.5,6,0.9,5.9,6.5,7.5,5.7,5.9,4.7,6.5,6.5,5.8,5.4,6.1,7.5,5.5,7.5,6.8,7.2,6.1,5.6,6.5,7.8,7.5,5.6,4.5,5.2,5.997560976
2021,1,19,1,12,64.49254786,0.350996569,6.2,4.3,6.5,5.7,5.9,4.1,3.6,6.5,6,5.8,6.4,4.6,2.2,9.7,4.7,4.1,4.4,4.6,4.8,1.4,4.1,3.9,5.6,4,6.1,7.1,6.4,6.4,3.5,5.8,5.9,3.9,1.3,8.5,6.4,5,4.1,4,6.2,4.5,6.3,5.134146341
2026,3,18,1,30,1.329874201,0.006553857,6.7,6.8,4.6,6.8,6.8,1.9,6.2,7.9,7.2,8.6,1.3,6.7,6.9,7.6,5.7,4.5,5.9,6,6.7,6.7,6.3,6.4,5.7,8,7.4,4.1,6.1,5.9,7.5,6.7,7.7,5.8,4.3,6.8,7.1,3,8.5,6.8,6.9,4.5,8.4,6.229268293
2030,3,23,1,28,265.9259638,1.449466092,6.1,3,4.4,7.4,3.4,5,7.2,5.2,6.9,4.3,1.6,5.5,4.7,7.8,4.2,7.2,6.1,4,4.8,6.1,4,6.9,5.7,5,7.4,5.8,3.8,5.7,8,5,4.1,6.5,6.8,5.8,6.2,9.7,6.7,4.5,5.9,4.5,5.7,5.575609756
2033,2,18,1,17,-29.96863846,-0.164125184,3.9,1.8,4.2,6,4.8,0.9,4.2,2.5,6.1,4.9,6.5,5.7,5.3,6.9,5.8,3.6,4.8,4.6,4.1,6,4.2,5.5,3.6,4.5,6.4,4.5,4.1,4.1,6,6.2,8.5,6.4,3.3,4.2,7,7.4,4.1,6.1,6.2,5.5,4,4.985365854
